Region,Temperature (°C),Humidity (%),Weather,Wind Speed (m/s)
"Manaus, Brazil",24.27,94,broken clouds,1.54
"Ho Chi Minh City, Vietnam",30.6,63,few clouds,3.09
"Medellín, Colombia",18.41,97,light rain,1.79
"Addis Ababa, Ethiopia",15.49,39,clear sky,4.63
"Bali, Indonesia",29.54,80,overcast clouds,2.2
"Bangalore, India",25.16,69,scattered clouds,5.14
"Tegucigalpa, Honduras",20.81,88,scattered clouds,2.06
"Kampala, Uganda",24.66,30,scattered clouds,2.49
"Guatemala City, Guatemala",16.93,94,broken clouds,5.14
"Lima, Peru",20.5,84,broken clouds,6.17
