Region,Temperature (°C),Humidity (%),Weather,Wind Speed (m/s)
"Manaus, Brazil",26.27,83,broken clouds,1.54
"Ho Chi Minh City, Vietnam",26.71,71,clear sky,4.12
"Medellín, Colombia",17.36,98,broken clouds,2.24
"Addis Ababa, Ethiopia",21.89,30,overcast clouds,3.16
"Bali, Indonesia",25.42,88,light rain,0.87
"Bangalore, India",24.25,33,clear sky,4.12
"Tegucigalpa, Honduras",16.92,88,broken clouds,5.81
"Kampala, Uganda",22.96,60,overcast clouds,1.75
"Guatemala City, Guatemala",12.98,94,few clouds,7.2
"Lima, Peru",23.28,78,few clouds,6.17
